url,snippet
https://www.nytimes.com/2018/09/02/world/asia/taiwan-kinmen-island-china.html,"The island county of Kinmen, which was shelled by China for years, has been drawing close to its erstwhile enemy."
https://www.nytimes.com/2018/09/02/opinion/letters/health-care-catholic-hospitals.html,An ob-gyn weighs in on a front-page article about limits on medical procedures at Catholic hospitals.
https://www.nytimes.com/2018/09/03/opinion/trump-labor-unions-greenhouse.html,"From the Supreme Court to labor organizing rules, the president undermines workers’ greatest champions."
https://www.nytimes.com/2018/09/02/arts/television/tv-writers-diversity.html,"Shows are scrambling to hire more minorities, but the pipeline of experienced writers is thin, a problem of the industry’s own making."
https://www.nytimes.com/2018/09/02/dining/what-to-cook-this-week.html,"Grilled corn! Clam dip! Lean into the holiday, then gear up for the week with baked cod and vegetarian tortilla soup."
https://www.nytimes.com/2018/08/31/opinion/schools-can-keep-kids-safe-without-giving-their-teachers-guns.html,Betsy DeVos’s latest scheme flies in the face of expert advice. 
https://www.nytimes.com/2018/08/31/sports/usa-gymnastics-mary-lee-tracy.html,"The federation hired an official, Mary Lee Tracy, on Tuesday, then asked for her resignation after a controversy tied to the sexual abuse case of Lawrence Nassar."
https://www.nytimes.com/2018/09/03/nyregion/you-cant-keep-the-jab-jab-down-jouvert-dancers-smeared-in-motor-oil-feel-the-rhythm.html,The annual J’Ouvert celebration has struggled with violence and the effects of increased security on its freewheeling nature. But the jab jab dancers remain its energetic core.
https://www.nytimes.com/2018/09/03/world/americas/brazil-museum-fire.html,"When Brazilians look at the shell of their National Museum, some see a symbol of the hollowing out of their country and the near-abandonment of basic services."
https://www.nytimes.com/2018/09/02/fashion/weddings/amanda-glassman-claudio-emma.html,The bride is a screenwriter and playwright; the groom is an accelerator physicist.
https://www.nytimes.com/2018/09/01/opinion/sunday/australia-trump-murdoch.html,"At the bottom of the world, Australians engage in topsy-turvy politics, infected by the specters of Donald Trump and Rupert Murdoch."
https://www.nytimes.com/2018/09/01/opinion/catholic-church-sexual-abuse-scandal-reform.html,"Readers respond to a dad’s plea for members of the faith to demand the resignation of the entire clergy, including the pope."
https://www.nytimes.com/2018/09/02/fashion/weddings/sari-sharoni-vincent-mazzurco.html,"The couple met at Stanford, from which each received a law degree."
https://www.nytimes.com/2018/09/03/business/retail-walmart-amazon-economy.html,Sales are booming at major chains that have taken cues from their giant online rival — signs of a revival in a $3.5 trillion industry.
https://www.nytimes.com/2018/09/03/movies/telluride-film-festival.html,"At this year’s edition, the movies looked ahead (to the Oscars) and back into history, none better than Alfonso Cuarón’s semi-autobiographical “Roma.”"
https://www.nytimes.com/2018/09/03/world/americas/brazil-museum-fire.html,"When Brazilians look at the shell of their National Museum, some see a symbol of the hollowing out of their country and the near-abandonment of basic services."
https://www.nytimes.com/2018/09/03/arts/bannon-new-yorker-festival-remnick.html,"John Mulaney, Jim Carrey and Patton Oswalt were among celebrities who said they would not appear at the festival next month if Stephen K. Bannon remained its headliner."
https://www.nytimes.com/2018/09/03/theater/review-scraps-geraldine-inoa-flea.html,A community reels after a young father is killed by police in Geraldine Inoa’s unsettling play.
https://www.nytimes.com/2018/09/03/opinion/trump-labor-unions-greenhouse.html,"From the Supreme Court to labor organizing rules, the president undermines workers’ greatest champions."
https://www.nytimes.com/2018/09/03/world/americas/artifacts-national-museum-brazil-fire.html,The items feared lost to a fire on Sunday include one of the world’s largest meteorites and the oldest human fossil from the region.
https://www.nytimes.com/2018/09/03/nyregion/you-cant-keep-the-jab-jab-down-jouvert-dancers-smeared-in-motor-oil-feel-the-rhythm.html,The annual J’Ouvert celebration has struggled with violence and the effects of increased security on its freewheeling nature. But the jab jab dancers remain its energetic core.
https://www.nytimes.com/video/us/politics/100000006076471/mccain-funeral-eulogies.html,The senator’s daughter Meghan McCain and former presidents Barack Obama and George W. Bush were among those who made eulogies to John McCain at a memorial service on Saturday.
https://www.nytimes.com/2018/09/02/opinion/puerto-rico-hurricane-maria-death-toll.html,The president said the administration did a “fantastic job” in responding to the 2017 storm in Puerto Rico. A new estimate of the death toll says otherwise.
https://www.nytimes.com/2018/09/02/opinion/all-together-in-the-great-outdoors.html,The few days I spent in a national park with hundreds of other campers suggests we’re not so divided.
https://www.nytimes.com/2018/09/02/sports/daniel-murphy-cubs.html,"Facing one of the National League’s best pitchers, and with a focus sharpened after Murphy’s acquisition, Chicago hammered its way to victory."
https://www.nytimes.com/2018/09/03/us/politics/brett-kavanaugh-confirmation-hearings.html,Democrats are casting Brett Kavanaugh as a threat to abortion rights. Republicans portray him as an advocate for women.
https://www.nytimes.com/2018/09/03/opinion/california-climate-change-renewable-energy.html,Jerry Brown’s California is moving toward carbon-free electricity as President Trump’s Washington beds down with the fossil fuel lobby. We stand with California.
https://www.nytimes.com/2018/09/03/opinion/weingarten-homebirth-border-passports.html,"In border states, the latest erosion of American citizens’ rights."
https://www.nytimes.com/2018/09/03/sports/urban-meyer-ohio-state.html,"Ohio State’s thumping of Oregon State, losses for Texas and Michigan, and other tasty narratives on Week 1. Should Herman and Harbaugh be nervous?"
https://www.nytimes.com/2018/09/02/world/asia/trump-modi-india-relations-.html,"Trade tensions, threats of sanctions and even President Trump’s reported mocking of the Indian leader have contributed to a suddenly long list of diplomatic challenges."
https://www.nytimes.com/2018/09/02/world/africa/pentagon-commandos-niger.html,"The plans, if approved by Defense Secretary Jim Mattis, would also close military outposts in Tunisia, Cameroon, Libya and Kenya."
https://www.nytimes.com/2018/09/02/opinion/all-together-in-the-great-outdoors.html,The few days I spent in a national park with hundreds of other campers suggests we’re not so divided.
https://www.nytimes.com/2018/09/02/sports/daniel-murphy-cubs.html,"Facing one of the National League’s best pitchers, and with a focus sharpened after Murphy’s acquisition, Chicago hammered its way to victory."
https://www.nytimes.com/2018/09/02/opinion/rohingya-genocide-myanmar-united-nations.html,The United Nations condemns Myanmar’s generals but takes no tangible steps toward punishment.
